Compound ID,SMILES,mw,logp,hbd,hba,tpsa,rotb,rings,heavy,qed,n_stereo,conformer_ok
cpd_95000,CN1CCCN(C(=O)C2CCC(C(=O)N3CCN(C)CC3)CC2)CC1,350.268176328,0.7309000000000021,0,4,47.10000000000001,2,3,25,0.7366934011566617,0,True
cpd_645000,CN1CCN(C(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)CC1,352.156911628,0.3603000000000005,0,4,64.17,2,3,24,0.770993284353047,0,True
cpd_380000,Cn1cc(S(=O)(=O)N2CCc3ccccc3CC2)c(=O)n(C)c1=O,349.109627088,-0.12649999999999917,0,4,81.38,2,3,24,0.7565497702463282,0,True
cpd_325000,Cn1c(=O)c(Br)cn(-c2cccc(C(F)(F)F)c2)c1=O,347.972124256,2.3175,0,2,44.0,1,2,20,0.7932960659460184,0,True
cpd_330000,Cn1c(=O)c(Br)cn(-c2ccccc2C(F)(F)F)c1=O,347.972124256,2.3175,0,2,44.0,1,2,20,0.7932960659460184,0,True
cpd_440000,CC(=O)N1CCN(C(=O)Cn2nc(C(F)(F)F)c3c2CCC3)CC1,344.146010508,1.0813000000000001,0,3,58.440000000000005,2,3,24,0.806757990643941,0,True
cpd_575000,Cn1c(=O)c2c(ncn2CC(=O)N2CCc3ccccc3C2)n(C)c1=O,353.148789468,0.01859999999999906,0,4,82.13,2,4,26,0.6502966857262397,0,True
cpd_20000,Cn1c(=O)n(CC(=O)N2CCOCC2)c(=O)c2c1c1ccccc1n2C,356.14845512000005,0.05070000000000063,0,4,78.47,2,4,26,0.6500587268024715,0,True
cpd_215000,CS(=O)(=O)N1CCN(C(=O)c2ccc(Br)cc2)CC1,345.99867544,1.1664999999999999,0,3,57.690000000000005,2,2,19,0.8070048158462114,0,True
cpd_585000,CC(=O)N1CCN(C(=O)Cn2c(=O)c3cccn3c3ccccc32)CC1,352.15354049999996,0.9449000000000001,0,3,67.03,2,4,26,0.689521612935398,0,True
cpd_185000,Cn1c(=O)c2c(nc(N3CCN(CC(C)(C)C)CC3)n2C)n(C)c1=O,348.227374136,0.13880000000000114,0,5,68.30000000000001,2,3,25,0.772186924005626,0,True
cpd_20000,CN1CCN(C2CCCN(C(=O)CN3CCCCC3=O)C2)CC1,322.2368762,0.2373000000000014,0,4,47.1,3,3,23,0.7466376235282319,0,True
cpd_380000,Cn1cc(S(=O)(=O)N2CCCc3ccccc3C2)c(=O)n(C)c1=O,349.109627088,0.22110000000000007,0,4,81.38,2,3,24,0.7767311384726083,0,True
cpd_210000,O=C(c1ccccc1F)N1CCN(C(=O)N2CCOCC2)CC1,321.14886972,1.0357,0,3,53.09,1,3,23,0.7764111839760488,0,True
cpd_255000,O=C(c1ccccc1)N1CCN(S(=O)(=O)N2CCOCC2)CC1,339.125277152,0.02140000000000053,0,4,70.16000000000001,3,3,23,0.7785264984791306,0,True
cpd_445000,CC(=O)N1CCN(C(=O)C2CSC3(C)CCC(=O)N23)CC1,311.13036253200005,0.13110000000000044,0,4,60.93000000000001,1,3,21,0.6905881001824093,0,True
cpd_85000,CN1CCN(C(=O)C2CCC(C(=O)N3CCOCC3)CC2)CC1,323.220891788,0.4256000000000011,0,4,53.09,2,3,23,0.739280243265143,0,True
cpd_20000,CN1CCCN(C(=O)C2CCC(C(=O)N3CCOCC3)CC2)CC1,337.236541852,0.8157000000000008,0,4,53.09,2,3,24,0.7484560877109864,0,True
cpd_365000,CN(C)c1ccc(C(=O)N2CCN(C(=O)N3CCOCC3)CC2)cc1,346.20049069199996,0.9626000000000008,0,4,56.33000000000001,2,3,25,0.8005087503633488,0,True
